[补丁系统] 正在加载补丁: pseudo_friend
[补丁系统] 补丁加载完成: pseudo_friend
[平台信息] 2025-11-29 14:33:05 | 开始检查插件依赖...
[平台信息] 2025-11-29 14:33:05 | 正在检查插件 welcome 的依赖...
[平台信息] 2025-11-29 14:33:05 | 插件 welcome 无额外依赖或依赖文件为空
[平台信息] 2025-11-29 14:33:05 | 插件 file 无 requirements.txt 文件，跳过依赖检查
[平台信息] 2025-11-29 14:33:05 | 正在检查插件 example 的依赖...
[平台信息] 2025-11-29 14:33:05 | 插件 example 无额外依赖或依赖文件为空
[平台信息] 2025-11-29 14:33:05 | 正在检查插件 图片下载 的依赖...
[平台信息] 2025-11-29 14:33:05 | 插件 图片下载 需要安装依赖: httpx>=0.24.0
[平台信息] 2025-11-29 14:33:05 | 插件 图片下载 依赖已全部安装
[平台信息] 2025-11-29 14:33:05 | 正在检查插件 anime_pics 的依赖...
[平台信息] 2025-11-29 14:33:05 | 插件 anime_pics 需要安装依赖: requests>=2.25.1
[平台信息] 2025-11-29 14:33:06 | 插件 anime_pics 依赖已全部安装
[平台信息] 2025-11-29 14:33:06 | 正在检查插件 ssh_terminal 的依赖...
[平台信息] 2025-11-29 14:33:06 | 插件 ssh_terminal 无额外依赖或依赖文件为空
[平台信息] 2025-11-29 14:33:06 | 正在检查插件 fun_game 的依赖...
[平台信息] 2025-11-29 14:33:06 | 插件 fun_game 无额外依赖或依赖文件为空
[平台信息] 2025-11-29 14:33:06 | 正在检查插件 daka 的依赖...
[平台信息] 2025-11-29 14:33:06 | 插件 daka 需要安装依赖: requests>=2.25.1
[平台信息] 2025-11-29 14:33:06 | 插件 daka 依赖已全部安装
[平台信息] 2025-11-29 14:33:06 | 已加载插件: welcome
[平台信息] 2025-11-29 14:33:06 | 已加载插件: example (触发指令: /插件测试)
[平台信息] 2025-11-29 14:33:06 | 已加载插件: 图片下载 (触发指令: /pcapi)
[平台信息] 2025-11-29 14:33:06 | 已加载插件: anime_pics
[平台信息] 2025-11-29 14:33:06 | 已加载插件: ssh_terminal
[平台信息] 2025-11-29 14:33:06 | 已加载插件: fun_game
[平台信息] 2025-11-29 14:33:06 | 已加载插件: daka (触发指令: 打卡)
[补丁系统] 正在加载补丁: pseudo_friend
[补丁系统] 补丁加载完成: pseudo_friend
[平台信息] 2025-11-29 14:33:33 | 开始检查插件依赖...
[平台信息] 2025-11-29 14:33:33 | 正在检查插件 welcome 的依赖...
[平台信息] 2025-11-29 14:33:33 | 插件 welcome 无额外依赖或依赖文件为空
[平台信息] 2025-11-29 14:33:33 | 插件 file 无 requirements.txt 文件，跳过依赖检查
[平台信息] 2025-11-29 14:33:33 | 正在检查插件 example 的依赖...
[平台信息] 2025-11-29 14:33:33 | 插件 example 无额外依赖或依赖文件为空
[平台信息] 2025-11-29 14:33:33 | 正在检查插件 图片下载 的依赖...
[平台信息] 2025-11-29 14:33:33 | 插件 图片下载 需要安装依赖: httpx>=0.24.0
[平台信息] 2025-11-29 14:33:33 | 插件 图片下载 依赖已全部安装
[平台信息] 2025-11-29 14:33:33 | 正在检查插件 anime_pics 的依赖...
[平台信息] 2025-11-29 14:33:33 | 插件 anime_pics 需要安装依赖: requests>=2.25.1
[平台信息] 2025-11-29 14:33:33 | 插件 anime_pics 依赖已全部安装
[平台信息] 2025-11-29 14:33:33 | 正在检查插件 ssh_terminal 的依赖...
[平台信息] 2025-11-29 14:33:33 | 插件 ssh_terminal 无额外依赖或依赖文件为空
[平台信息] 2025-11-29 14:33:33 | 正在检查插件 fun_game 的依赖...
[平台信息] 2025-11-29 14:33:33 | 插件 fun_game 无额外依赖或依赖文件为空
[平台信息] 2025-11-29 14:33:33 | 正在检查插件 daka 的依赖...
[平台信息] 2025-11-29 14:33:33 | 插件 daka 需要安装依赖: requests>=2.25.1
[平台信息] 2025-11-29 14:33:33 | 插件 daka 依赖已全部安装
[平台信息] 2025-11-29 14:33:33 | 已加载插件: welcome
[平台信息] 2025-11-29 14:33:33 | 已加载插件: example (触发指令: /插件测试)
[平台信息] 2025-11-29 14:33:33 | 已加载插件: 图片下载 (触发指令: /pcapi)
[平台信息] 2025-11-29 14:33:33 | 已加载插件: anime_pics
[平台信息] 2025-11-29 14:33:33 | 已加载插件: ssh_terminal
[平台信息] 2025-11-29 14:33:33 | 已加载插件: fun_game
[平台信息] 2025-11-29 14:33:33 | 已加载插件: daka (触发指令: 打卡)
[平台信息] 2025-11-29 14:35:23 | 已创建默认自动回复文件: auto.txt
[平台信息] 2025-11-29 14:35:23 | 已加载 4 条自动回复规则
[平台信息] 2025-11-29 14:35:23 | 已创建默认戳一戳随机回复文件: random.txt
[平台信息] 2025-11-29 14:35:23 | 已加载 8 条随机回复
[补丁系统] 正在加载补丁: pseudo_friend
[补丁系统] 补丁加载完成: pseudo_friend
[平台信息] 2025-11-29 14:35:23 | 开始检查插件依赖...
